Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
1,01-07-2017,14,Düsseldorf,Düsseldorf,Individual time trial,Geraint Thomas,GBR
2,02-07-2017,203.5,Düsseldorf,Liège,Flat stage,Marcel Kittel,GER
3,03-07-2017,212.5,Verviers,Longwy,Medium mountain stage,Peter Sagan,SVK
4,04-07-2017,207.5,Mondorf-les-Bains,Vittel,Flat stage,Arnaud Démare,FRA
5,05-07-2017,160.5,Vittel,La Planche des Belles Filles,Medium mountain stage,Fabio Aru,ITA
6,06-07-2017,216,Vesoul,Troyes,Flat stage,Marcel Kittel,GER
7,07-07-2017,213.5,Troyes,Nuits-Saint-Georges,Flat stage,Marcel Kittel,GER
8,08-07-2017,187.5,Dole,Station des Rousses,Medium mountain stage,Lilian Calmejane,FRA
9,09-07-2017,181.5,Nantua,Chambéry,High mountain stage,Rigoberto Urán,COL
10,11-07-2017,178,Périgueux,Bergerac,Flat stage,Marcel Kittel,GER
11,12-07-2017,203.5,Eymet,Pau,Flat stage,Marcel Kittel,GER
12,13-07-2017,214.5,Pau,Peyragudes,High mountain stage,Romain Bardet,FRA
13,14-07-2017,101,Saint-Girons,Foix,High mountain stage,Warren Barguil,FRA
14,15-07-2017,181.5,Blagnac,Rodez,Medium mountain stage,Michael Matthews,AUS
15,16-07-2017,189.5,Laissac-Sévérac-l'Église,Le Puy-en-Velay,Medium mountain stage,Bauke Mollema,NED
16,18-07-2017,165,Le Puy-en-Velay,Romans-sur-Isère,Medium mountain stage,Michael Matthews,AUS
17,19-07-2017,183,La Mure,Serre Chevalier,High mountain stage,Primož Roglič,SLO
18,20-07-2017,179.5,Briançon,Col d'Izoard,High mountain stage,Warren Barguil,FRA
19,21-07-2017,222.5,Embrun,Salon-de-Provence,Flat stage,Edvald Boasson Hagen,NOR
20,22-07-2017,22.5,Marseille,Marseille,Individual time trial,Maciej Bodnar,POL
21,23-07-2017,103,Montgeron,Paris,Flat stage,Dylan Groenewegen,NED
1,02-07-2016,188,Mont Saint-Michel,Utah Beach,Flat stage,Mark Cavendish,GBR
2,03-07-2016,183,Saint-Lô,Cherbourg-en-Cotentin,Flat stage,Peter Sagan,SVK
3,04-07-2016,223.5,Granville,Angers,Flat stage,Mark Cavendish,GBR
4,05-07-2016,237.5,Saumur,Limoges,Flat stage,Marcel Kittel,GER
5,06-07-2016,216,Limoges,Le Lioran,Medium mountain stage,Greg Van Avermaet,BEL
6,07-07-2016,190.5,Arpajon-sur-Cère,Montauban,Flat stage,Mark Cavendish,GBR
7,08-07-2016,162.5,L'Isle-Jourdain,Lac de Payolle,Medium mountain stage,Steve Cummings,GBR
8,09-07-2016,184,Pau,Bagnères-de-Luchon,High mountain stage,Chris Froome,GBR
9,10-07-2016,184.5,Vielha Val d'Aran,Andorra-Arcalis,High mountain stage,Tom Dumoulin,NED
10,12-07-2016,197,Escaldes-Engordany,Revel,Medium mountain stage,Michael Matthews,AUS
11,13-07-2016,162.5,Carcassonne,Montpellier,Flat stage,Peter Sagan,SVK
12,14-07-2016,178,Montpellier,Chalet Reynard,High mountain stage,Thomas De Gendt,BEL
