Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
P,03-07-1999,6.8,Le Puy du Fou,Le Puy du Fou,Individual time trial,Lance Armstrong[n 1],USA
1,04-07-1999,208,Montaigu,Challans,Plain stage,Jaan Kirsipuu,EST
2,05-07-1999,176,Challans,Saint-Nazaire,Plain stage,Tom Steels,BEL
3,06-07-1999,194.5,Nantes,Laval,Plain stage,Tom Steels,BEL
4,07-07-1999,194.5,Laval,Blois,Plain stage,Mario Cipollini,ITA
5,08-07-1999,233.5,Bonneval,Amiens,Plain stage,Mario Cipollini,ITA
6,09-07-1999,171.5,Amiens,Maubeuge,Plain stage,Mario Cipollini,ITA
7,10-07-1999,227,Avesnes-sur-Helpe,Thionville,Plain stage,Mario Cipollini,ITA
8,11-07-1999,56.5,Metz,Metz,Individual time trial,Lance Armstrong[n 1],USA
9,13-07-1999,213.5,Le Grand-Bornand,Sestrières,Stage with mountain(s),Lance Armstrong[n 1],USA
10,14-07-1999,220.5,Sestrières,Alpe d'Huez,Stage with mountain(s),Giuseppe Guerini,ITA
11,15-07-1999,198.5,Le Bourg-d'Oisans,Saint-Étienne,Hilly stage,Ludo Dierckxsens,BEL
12,16-07-1999,201.5,Saint-Galmier,Saint-Flour,Hilly stage,David Etxebarria,ESP
13,17-07-1999,236.5,Saint-Flour,Albi,Hilly stage,Salvatore Commesso,ITA
14,18-07-1999,199,Castres,Saint-Gaudens,Plain stage,Dmitri Konychev,RUS
15,20-07-1999,173,Saint-Gaudens,Piau-Engaly,Stage with mountain(s),Fernando Escartín,ESP
16,21-07-1999,192,Lannemezan,Pau,Stage with mountain(s),David Etxebarria,ESP
17,22-07-1999,200,Mourenx,Bordeaux,Plain stage,Tom Steels,BEL
18,23-07-1999,187.5,Jonzac,Futuroscope,Plain stage,Giampaolo Mondini,ITA
19,24-07-1999,57,Futuroscope,Futuroscope,Individual time trial,Lance Armstrong[n 1],USA
20,25-07-1999,143.5,Arpajon,Paris,Plain stage,Robbie McEwen,AUS
